2026-03-10 19:42:08,612 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:08,613 | INFO | FS | Thread-1 (fs_background) | fsmanager.py:273 | loop finsh
2026-03-10 19:42:08,616 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_quick
2026-03-10 19:42:08,616 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:08,619 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: path_breaker
2026-03-10 19:42:08,619 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:08,622 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_cwd
2026-03-10 19:42:08,622 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:09,468 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: show_list
2026-03-10 19:42:09,468 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:09,468 | INFO | FS | Thread-1 (fs_background) | fsmanager.py:273 | loop finsh
2026-03-10 19:42:09,472 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_quick
2026-03-10 19:42:09,472 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:09,475 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: path_breaker
2026-03-10 19:42:09,475 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:09,479 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_cwd
2026-03-10 19:42:09,479 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:13,814 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: show_list
2026-03-10 19:42:13,814 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:13,814 | INFO | FS | Thread-1 (fs_background) | fsmanager.py:273 | loop finsh
2026-03-10 19:42:13,818 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_quick
2026-03-10 19:42:13,818 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:13,821 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: path_breaker
2026-03-10 19:42:13,821 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:13,824 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_cwd
2026-03-10 19:42:13,824 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:44:13,389 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: delete
2026-03-10 19:44:13,389 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:44:13,505 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: show_list
2026-03-10 19:44:13,505 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:44:13,505 | INFO | FS | Thread-1 (fs_background) | fsmanager.py:273 | loop finsh
2026-03-10 19:44:13,510 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_quick
2026-03-10 19:44:13,510 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:44:13,513 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: path_breaker
2026-03-10 19:44:13,513 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:44:13,518 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_cwd
2026-03-10 19:44:13,518 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:44:16,309 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: delete
2026-03-10 19:44:16,309 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:44:16,365 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: show_list
